Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2024-08-01 00:00:00-04,ND0024,N,97,67.78,3.15%,22,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 00:05:00-04,ND0024,N,92,68.45,2.40%,23,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 00:10:00-04,ND0024,N,91,67.53,2.49%,23,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 00:15:00-04,ND0024,N,89,68.86,2.19%,23,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 00:20:00-04,ND0024,N,72,70.64,2.30%,21,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 00:25:00-04,ND0024,N,73,68.71,2.29%,22,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 00:30:00-04,ND0024,N,68,67.87,1.99%,21,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 00:35:00-04,ND0024,N,91,70.30,2.62%,23,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 00:40:00-04,ND0024,N,68,68.44,2.01%,22,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 00:45:00-04,ND0024,N,61,70.37,1.44%,23,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 00:50:00-04,ND0024,N,46,69.09,1.39%,19,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 00:55:00-04,ND0024,N,53,65.51,1.64%,22,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 01:00:00-04,ND0024,N,61,69.04,2.00%,21,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 01:05:00-04,ND0024,N,57,66.85,1.81%,23,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 01:10:00-04,ND0024,N,63,68.21,2.60%,19,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 01:15:00-04,ND0024,N,58,67.60,1.54%,21,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 01:20:00-04,ND0024,N,79,68.23,2.35%,22,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 01:25:00-04,ND0024,N,57,67.39,1.46%,22,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 01:30:00-04,ND0024,N,86,68.67,2.81%,22,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 01:35:00-04,ND0024,N,62,69.07,2.23%,18,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 01:40:00-04,ND0024,N,73,69.66,2.62%,20,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 01:45:00-04,ND0024,N,60,70.40,2.01%,19,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 01:50:00-04,ND0024,N,60,70.40,2.07%,22,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 01:55:00-04,ND0024,N,55,67.90,2.41%,18,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 02:00:00-04,ND0024,N,54,68.74,2.27%,18,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 02:05:00-04,ND0024,N,50,65.92,1.84%,21,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 02:10:00-04,ND0024,N,58,68.86,2.25%,19,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 02:15:00-04,ND0024,N,65,69.11,1.88%,22,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 02:20:00-04,ND0024,N,66,68.09,2.41%,24,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 02:25:00-04,ND0024,N,47,70.21,2.09%,17,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 02:30:00-04,ND0024,N,46,68.04,1.75%,17,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 02:35:00-04,ND0024,N,54,67.21,2.13%,20,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 02:40:00-04,ND0024,N,55,69.42,2.39%,16,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 02:45:00-04,ND0024,N,66,66.41,2.69%,21,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 02:50:00-04,ND0024,N,53,67.92,1.77%,20,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 02:55:00-04,ND0024,N,69,68.06,2.66%,20,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 03:00:00-04,ND0024,N,56,69.09,2.34%,18,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 03:05:00-04,ND0024,N,58,70.37,1.69%,21,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 03:10:00-04,ND0024,N,65,68.76,2.40%,20,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 03:15:00-04,ND0024,N,65,70.88,2.24%,20,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 03:20:00-04,ND0024,N,49,69.18,2.20%,17,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 03:25:00-04,ND0024,N,58,69.44,2.96%,16,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
2024-08-01 03:30:00-04,ND0024,N,53,68.71,2.20%,19,ND0024 - I95 AT SR1 {SOLAR},15165.1,2020-11-17 11:59:00-05,
