Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2024-08-01 00:00:00-04,ND0017,N,62,69.70,2.08%,18,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 00:05:00-04,ND0017,N,77,69.79,2.91%,19,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 00:10:00-04,ND0017,N,79,71.13,2.88%,17,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 00:15:00-04,ND0017,N,56,68.19,1.92%,18,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 00:20:00-04,ND0017,N,74,71.94,2.74%,18,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 00:25:00-04,ND0017,N,54,69.24,2.33%,17,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 00:30:00-04,ND0017,N,63,70.42,2.60%,16,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 00:35:00-04,ND0017,N,60,70.47,2.23%,18,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 00:40:00-04,ND0017,N,58,71.79,2.04%,19,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 00:45:00-04,ND0017,N,42,72.77,1.49%,17,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 00:50:00-04,ND0017,N,51,70.62,2.11%,16,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 00:55:00-04,ND0017,N,45,71.27,1.63%,15,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 01:00:00-04,ND0017,N,56,68.44,2.61%,17,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 01:05:00-04,ND0017,N,52,69.36,1.77%,20,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 01:10:00-04,ND0017,N,50,69.49,2.43%,14,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 01:15:00-04,ND0017,N,57,69.88,2.54%,16,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 01:20:00-04,ND0017,N,60,67.94,2.92%,15,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 01:25:00-04,ND0017,N,53,69.90,2.11%,17,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 01:30:00-04,ND0017,N,60,69.65,2.97%,15,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 01:35:00-04,ND0017,N,65,70.15,2.59%,17,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 01:40:00-04,ND0017,N,49,68.48,2.32%,18,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 01:45:00-04,ND0017,N,51,67.92,2.35%,17,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 01:50:00-04,ND0017,N,53,68.83,2.14%,19,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 01:55:00-04,ND0017,N,48,68.81,2.01%,18,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 02:00:00-04,ND0017,N,46,68.19,2.29%,17,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 02:05:00-04,ND0017,N,56,66.76,2.24%,18,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 02:10:00-04,ND0017,N,62,71.24,2.33%,18,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 02:15:00-04,ND0017,N,62,66.90,3.22%,17,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
2024-08-01 02:20:00-04,ND0017,N,42,68.82,2.05%,16,ND0017 - I95 1/2 M SOUTH OF SERVICE AREA {SOLAR},15163.1,2020-11-17 11:59:00-05,
