Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2024-08-01 00:00:00-04,ND0042,S,62,69.60,2.60%,12,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 00:05:00-04,ND0042,S,53,69.50,2.58%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 00:10:00-04,ND0042,S,57,70.33,2.63%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 00:15:00-04,ND0042,S,49,71.99,2.60%,9,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 00:20:00-04,ND0042,S,56,72.07,2.69%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 00:25:00-04,ND0042,S,62,70.10,3.17%,9,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 00:30:00-04,ND0042,S,55,69.71,2.87%,11,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 00:35:00-04,ND0042,S,48,70.30,2.13%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 00:40:00-04,ND0042,S,45,70.11,2.86%,9,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 00:45:00-04,ND0042,S,37,74.28,1.92%,9,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 00:50:00-04,ND0042,S,36,69.02,1.80%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 00:55:00-04,ND0042,S,28,70.59,1.72%,8,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 01:00:00-04,ND0042,S,33,70.54,1.94%,8,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 01:05:00-04,ND0042,S,34,69.42,1.48%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 01:10:00-04,ND0042,S,32,71.85,1.64%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 01:15:00-04,ND0042,S,26,67.90,1.65%,9,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 01:20:00-04,ND0042,S,32,70.19,1.76%,9,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 01:25:00-04,ND0042,S,23,67.57,1.22%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 01:30:00-04,ND0042,S,22,69.45,1.54%,8,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 01:35:00-04,ND0042,S,25,70.54,1.27%,9,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 01:40:00-04,ND0042,S,23,72.79,1.43%,9,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 01:45:00-04,ND0042,S,20,72.24,1.49%,9,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 01:50:00-04,ND0042,S,18,67.73,1.02%,8,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 01:55:00-04,ND0042,S,33,68.75,1.64%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 02:00:00-04,ND0042,S,21,68.92,1.06%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 02:05:00-04,ND0042,S,18,67.11,1.52%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 02:10:00-04,ND0042,S,21,67.34,1.26%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 02:15:00-04,ND0042,S,15,67.69,1.66%,7,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 02:20:00-04,ND0042,S,21,67.73,1.77%,7,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 02:25:00-04,ND0042,S,18,66.84,1.58%,8,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 02:30:00-04,ND0042,S,15,70.53,1.17%,7,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 02:35:00-04,ND0042,S,17,63.84,1.41%,9,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 02:40:00-04,ND0042,S,27,67.84,1.68%,11,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 02:45:00-04,ND0042,S,20,67.66,1.88%,7,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 02:50:00-04,ND0042,S,20,70.78,1.61%,8,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 02:55:00-04,ND0042,S,14,70.62,1.20%,7,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 03:00:00-04,ND0042,S,22,72.73,1.47%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 03:05:00-04,ND0042,S,18,67.38,2.37%,6,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 03:10:00-04,ND0042,S,31,69.68,2.35%,10,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
2024-08-01 03:15:00-04,ND0042,S,25,68.85,2.03%,9,ND0042 - DE1 NORTH OF US40 SOLAR,15153.5,2020-11-17 11:59:00-05,
