Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2024-08-01 00:00:00-04,ND0038,S,73,64.23,2.62%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 00:05:00-04,ND0038,S,89,63.35,3.11%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 00:10:00-04,ND0038,S,66,64.84,2.26%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 00:15:00-04,ND0038,S,82,67.18,2.74%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 00:20:00-04,ND0038,S,71,64.56,2.23%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 00:25:00-04,ND0038,S,86,63.68,3.13%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 00:30:00-04,ND0038,S,77,64.96,2.68%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 00:35:00-04,ND0038,S,60,64.78,2.21%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 00:40:00-04,ND0038,S,73,63.87,2.57%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 00:45:00-04,ND0038,S,55,62.80,2.05%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 00:50:00-04,ND0038,S,56,65.56,1.86%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 00:55:00-04,ND0038,S,47,66.46,1.85%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 01:00:00-04,ND0038,S,38,66.90,1.29%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 01:05:00-04,ND0038,S,59,65.70,1.91%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 01:10:00-04,ND0038,S,42,65.47,1.33%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 01:15:00-04,ND0038,S,41,67.04,1.45%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 01:20:00-04,ND0038,S,40,60.52,1.67%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 01:25:00-04,ND0038,S,40,66.86,1.42%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 01:30:00-04,ND0038,S,29,68.10,1.43%,2,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 01:35:00-04,ND0038,S,30,68.44,0.98%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 01:40:00-04,ND0038,S,37,68.79,1.28%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 01:45:00-04,ND0038,S,31,67.90,1.44%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 01:50:00-04,ND0038,S,32,73.42,1.73%,2,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 01:55:00-04,ND0038,S,24,67.15,0.76%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 02:00:00-04,ND0038,S,32,65.67,1.14%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 02:05:00-04,ND0038,S,31,63.31,1.34%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 02:10:00-04,ND0038,S,30,62.63,1.33%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 02:15:00-04,ND0038,S,31,63.81,1.37%,3,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
2024-08-01 02:20:00-04,ND0038,S,16,65.16,1.15%,2,ND0038 - SR1 @ SR 273,8915.5,2015-05-18 13:03:58-04,
