Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2024-08-01 00:00:00-04,ND0018,S,96,69.53,2.89%,20,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 00:05:00-04,ND0018,S,80,70.14,2.14%,20,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 00:10:00-04,ND0018,S,84,72.28,2.48%,20,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 00:15:00-04,ND0018,S,93,69.95,2.69%,20,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 00:20:00-04,ND0018,S,90,69.82,2.84%,20,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 00:25:00-04,ND0018,S,83,69.92,2.94%,17,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 00:30:00-04,ND0018,S,93,69.33,3.08%,19,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 00:35:00-04,ND0018,S,76,69.63,2.42%,20,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 00:40:00-04,ND0018,S,69,69.58,2.09%,20,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 00:45:00-04,ND0018,S,84,68.04,2.51%,20,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 00:50:00-04,ND0018,S,74,68.83,2.80%,18,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 00:55:00-04,ND0018,S,57,69.90,2.47%,16,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 01:00:00-04,ND0018,S,75,67.72,2.72%,19,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 01:05:00-04,ND0018,S,64,72.61,2.52%,18,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 01:10:00-04,ND0018,S,60,71.47,1.94%,18,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 01:15:00-04,ND0018,S,58,66.69,2.44%,19,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 01:20:00-04,ND0018,S,56,68.79,1.98%,19,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 01:25:00-04,ND0018,S,47,70.56,1.80%,18,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 01:30:00-04,ND0018,S,67,68.95,2.57%,19,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 01:35:00-04,ND0018,S,69,67.34,2.59%,17,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 01:40:00-04,ND0018,S,51,69.69,1.80%,17,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 01:45:00-04,ND0018,S,62,69.31,2.95%,16,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 01:50:00-04,ND0018,S,45,67.19,2.12%,17,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 01:55:00-04,ND0018,S,44,68.79,2.23%,15,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 02:00:00-04,ND0018,S,51,71.78,1.76%,19,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 02:05:00-04,ND0018,S,56,70.59,2.23%,16,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
2024-08-01 02:10:00-04,ND0018,S,66,69.02,2.47%,20,ND0018 - I95 AT SALEM CHURCH RD {SOLAR},14209.5,2020-03-12 09:14:37-04,
