Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2024-08-01 00:00:00-04,ND0036,S,65,63.62,3.66%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 00:05:00-04,ND0036,S,80,63.66,4.38%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 00:10:00-04,ND0036,S,58,65.28,3.00%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 00:15:00-04,ND0036,S,74,64.73,4.10%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 00:20:00-04,ND0036,S,70,64.13,3.38%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 00:25:00-04,ND0036,S,85,64.25,4.72%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 00:30:00-04,ND0036,S,67,65.00,3.40%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 00:35:00-04,ND0036,S,56,64.49,3.42%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 00:40:00-04,ND0036,S,65,63.39,3.41%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 00:45:00-04,ND0036,S,56,61.46,3.45%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 00:50:00-04,ND0036,S,49,63.00,2.46%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 00:55:00-04,ND0036,S,43,63.89,2.39%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 01:00:00-04,ND0036,S,34,66.20,1.87%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 01:05:00-04,ND0036,S,54,64.23,2.72%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 01:10:00-04,ND0036,S,38,66.47,1.87%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 01:15:00-04,ND0036,S,39,66.05,2.22%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 01:20:00-04,ND0036,S,39,62.72,2.16%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 01:25:00-04,ND0036,S,37,66.12,2.04%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 01:30:00-04,ND0036,S,28,63.88,1.69%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 01:35:00-04,ND0036,S,26,63.16,1.18%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 01:40:00-04,ND0036,S,30,64.95,1.78%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 01:45:00-04,ND0036,S,31,62.48,2.23%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 01:50:00-04,ND0036,S,32,66.70,1.68%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 01:55:00-04,ND0036,S,19,64.84,0.93%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 02:00:00-04,ND0036,S,34,62.62,1.92%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 02:05:00-04,ND0036,S,25,61.67,1.67%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
2024-08-01 02:10:00-04,ND0036,S,29,62.08,2.05%,2,ND0036 - DE1 AT DE273,8913.5,2015-05-18 13:03:57-04,
