Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2024-08-01 00:00:00-04,ND0234,N,8,62.49,1.33%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 00:05:00-04,ND0234,N,3,77.40,0.10%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 00:10:00-04,ND0234,N,2,70.42,0.16%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 00:15:00-04,ND0234,N,9,63.00,0.95%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 00:20:00-04,ND0234,N,8,69.16,0.81%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 00:25:00-04,ND0234,N,4,63.32,0.45%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 00:30:00-04,ND0234,N,3,57.41,0.40%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 00:40:00-04,ND0234,N,7,67.24,1.34%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 00:45:00-04,ND0234,N,7,69.07,0.55%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 00:50:00-04,ND0234,N,5,58.23,1.56%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 01:00:00-04,ND0234,N,7,69.52,0.63%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 01:05:00-04,ND0234,N,3,60.82,0.68%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 01:10:00-04,ND0234,N,8,66.76,1.75%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 01:15:00-04,ND0234,N,4,74.53,0.32%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 01:20:00-04,ND0234,N,1,74.93,0.24%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 01:25:00-04,ND0234,N,4,62.71,0.75%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 01:30:00-04,ND0234,N,2,67.43,0.55%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 01:35:00-04,ND0234,N,2,60.88,0.59%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 01:40:00-04,ND0234,N,2,62.06,0.36%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 01:45:00-04,ND0234,N,3,66.41,0.83%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 01:50:00-04,ND0234,N,4,65.38,0.35%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 01:55:00-04,ND0234,N,7,68.37,1.75%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 02:00:00-04,ND0234,N,2,74.66,0.50%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 02:05:00-04,ND0234,N,3,68.08,0.82%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 02:10:00-04,ND0234,N,3,65.67,0.62%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 02:15:00-04,ND0234,N,4,69.26,0.47%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 02:20:00-04,ND0234,N,4,57.88,1.14%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 02:25:00-04,ND0234,N,7,62.48,0.97%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 02:30:00-04,ND0234,N,5,64.02,1.20%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 02:35:00-04,ND0234,N,2,69.56,0.55%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 02:40:00-04,ND0234,N,7,66.91,1.76%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 02:45:00-04,ND0234,N,3,60.71,0.47%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 02:50:00-04,ND0234,N,6,61.98,1.33%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 02:55:00-04,ND0234,N,6,67.97,0.61%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 03:00:00-04,ND0234,N,4,65.78,1.12%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 03:05:00-04,ND0234,N,3,65.48,0.65%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 03:10:00-04,ND0234,N,5,72.04,0.39%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 03:15:00-04,ND0234,N,6,68.88,0.63%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 03:20:00-04,ND0234,N,4,70.05,0.27%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 03:25:00-04,ND0234,N,5,67.97,0.63%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 03:30:00-04,ND0234,N,6,66.76,1.32%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 03:35:00-04,ND0234,N,4,69.54,0.34%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 03:40:00-04,ND0234,N,11,71.53,0.88%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 03:45:00-04,ND0234,N,9,69.72,0.56%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 03:50:00-04,ND0234,N,2,57.34,0.41%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 03:55:00-04,ND0234,N,2,63.15,0.25%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 04:00:00-04,ND0234,N,8,61.25,1.83%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 04:05:00-04,ND0234,N,9,77.87,0.59%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 04:10:00-04,ND0234,N,6,76.01,0.32%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 04:15:00-04,ND0234,N,15,73.34,1.31%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 04:20:00-04,ND0234,N,9,64.02,0.84%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 04:25:00-04,ND0234,N,6,68.78,0.62%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 04:30:00-04,ND0234,N,7,65.40,0.57%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 04:35:00-04,ND0234,N,10,70.38,1.67%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 04:40:00-04,ND0234,N,8,78.03,0.51%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 04:45:00-04,ND0234,N,9,68.89,0.59%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 04:50:00-04,ND0234,N,13,67.66,0.98%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 04:55:00-04,ND0234,N,14,69.00,2.29%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 05:00:00-04,ND0234,N,8,73.52,0.90%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 05:05:00-04,ND0234,N,11,70.55,1.06%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 05:10:00-04,ND0234,N,12,69.87,1.45%,1,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 05:15:00-04,ND0234,N,19,70.87,1.22%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 05:20:00-04,ND0234,N,15,72.18,0.72%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 05:25:00-04,ND0234,N,18,74.21,1.02%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 05:30:00-04,ND0234,N,16,66.59,1.18%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 05:35:00-04,ND0234,N,21,67.73,1.79%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 05:40:00-04,ND0234,N,24,71.91,1.23%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 05:45:00-04,ND0234,N,23,72.76,1.04%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 05:50:00-04,ND0234,N,24,75.23,1.54%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 05:55:00-04,ND0234,N,23,74.64,1.20%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 06:00:00-04,ND0234,N,24,74.07,1.01%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 06:05:00-04,ND0234,N,25,74.95,1.01%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 06:10:00-04,ND0234,N,29,72.41,1.59%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 06:15:00-04,ND0234,N,31,76.33,1.20%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 06:20:00-04,ND0234,N,22,72.95,1.03%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 06:25:00-04,ND0234,N,33,76.13,1.31%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 06:30:00-04,ND0234,N,43,72.90,2.00%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 06:35:00-04,ND0234,N,33,73.22,1.64%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 06:40:00-04,ND0234,N,46,73.17,1.92%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 06:45:00-04,ND0234,N,36,71.86,1.91%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 06:50:00-04,ND0234,N,49,74.62,2.37%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 06:55:00-04,ND0234,N,29,72.32,1.25%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 07:00:00-04,ND0234,N,32,73.75,1.68%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 07:05:00-04,ND0234,N,43,72.57,2.14%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 07:10:00-04,ND0234,N,41,74.62,1.68%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 07:15:00-04,ND0234,N,36,73.04,1.95%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 07:20:00-04,ND0234,N,44,75.45,1.96%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 07:25:00-04,ND0234,N,45,75.58,1.94%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 07:30:00-04,ND0234,N,56,73.97,2.19%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 07:35:00-04,ND0234,N,37,74.29,1.48%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 07:40:00-04,ND0234,N,39,73.19,1.86%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 07:45:00-04,ND0234,N,50,73.66,2.26%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 07:50:00-04,ND0234,N,48,72.43,2.23%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 07:55:00-04,ND0234,N,46,71.32,1.97%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 08:00:00-04,ND0234,N,39,75.16,2.21%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 08:05:00-04,ND0234,N,37,73.75,1.91%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 08:10:00-04,ND0234,N,35,74.14,1.60%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 08:15:00-04,ND0234,N,42,70.42,2.29%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
2024-08-01 08:20:00-04,ND0234,N,52,74.07,2.27%,2,ND0234 - US 301 NB N/O SPUR,12596.1,2019-01-30 09:40:43-05,
